eventDate,Lon,Lat
2013-05-26 16:26:00,-123.15218329999999,37.72428333
2013-05-26 19:33:00,-123.042883,37.727017
2013-05-26 20:33:00,-122.89544199999999,37.730659
2013-05-26 21:38:00,-122.74799999999999,37.7343
2013-05-27 15:31:00,-123.095,37.8925
2013-05-27 17:18:00,-123.189975,37.889874
2013-05-27 19:04:00,-123.380078,37.884643
2013-05-27 20:04:00,-123.475,37.882
2013-05-27 20:51:00,-123.41058329999998,37.88345
2013-05-28 15:28:00,-123.5114,38.04708333
2013-05-28 16:49:00,-123.56299999999999,38.0461
2013-05-28 17:56:00,-123.467652,38.048781
2013-05-28 18:51:00,-123.372606,38.051448
2013-05-28 19:46:00,-123.277803,38.054124
2013-05-28 20:44:00,-123.18299999999999,38.0568
2013-07-25 15:56:00,-123.15623329999998,37.72475
2013-07-25 17:47:00,-123.23299999999999,37.7221
2013-07-25 19:13:00,-123.13781499999999,37.724604
2013-07-25 20:06:00,-123.042883,37.727017
2013-07-25 21:13:00,-122.89544199999999,37.730659
2013-07-25 22:21:00,-122.74799999999999,37.7343
2013-07-26 15:29:00,-123.095,37.8925
2013-07-26 16:49:00,-123.189975,37.889874
2013-07-26 17:45:00,-123.284951,37.887248
2013-07-26 19:50:00,-123.475,37.882
2013-07-26 20:41:00,-123.4078,37.88521667
2013-07-26 21:50:00,-123.380078,37.884643
2013-07-27 16:01:00,-123.5151749,38.047447600000005
2013-07-27 17:33:00,-123.56299999999999,38.0461
2013-07-27 19:10:00,-123.467652,38.048781
2013-07-27 20:08:00,-123.372606,38.051448
2013-07-27 21:09:00,-123.277803,38.054124
2013-07-27 22:10:00,-123.18299999999999,38.0568
2013-09-28 18:10:00,-123.23299999999999,37.7221
2013-09-28 19:08:00,-123.13781499999999,37.724604
2013-09-28 19:35:00,-123.14288329999998,37.70785
2013-09-28 22:11:00,-122.89544199999999,37.730659
2013-09-28 23:29:00,-122.74799999999999,37.7343
2013-09-29 16:36:00,-123.41575,37.89366667
2013-09-29 18:12:00,-123.475,37.882
2013-09-29 19:10:00,-123.380078,37.884643
2013-09-29 20:06:00,-123.284951,37.887248
2013-09-29 21:04:00,-123.189975,37.889874
2013-09-29 23:15:00,-123.095,37.8925
2013-09-30 16:19:00,-123.53116670000001,38.04765
2013-09-30 17:54:00,-123.56299999999999,38.0461
2013-09-30 18:50:00,-123.467652,38.048781
2013-09-30 19:46:00,-123.372606,38.051448
2013-09-30 20:38:00,-123.277803,38.054124
2013-09-30 21:39:00,-123.18299999999999,38.0568
2014-06-25 18:54:00,-123.15775,37.72593333
2014-07-20 17:35:00,-123.04296000000001,37.727
2014-07-21 17:27:00,-123.4306,37.9683
2014-07-22 21:36:00,-123.5534,38.3691
2014-07-23 16:06:00,-123.51445,38.05065
2014-09-21 16:26:00,-123.161,37.724000000000004
2014-09-22 21:45:00,-123.4125,37.8843
2014-09-23 15:51:00,-123.5145,38.0483
2014-09-24 20:22:00,-123.3857,38.2119
2014-09-25 19:04:00,-123.4965,38.3685
